"homename"	"homecontinent"	"homecountry"	"homelat"	"homelon"	"travellon"	"travellat"
"Viña del Mar, Chile"	"South America"	"Chile"	-33.0153481	-71.5500276	-71.51210623	-32.9200507
"Davao City, Philippines"	"Asia"	"Philippines"	7.190708	125.455341	126.45	7.78333333
"Buenos Aires"	"South America"	"Argentina"	-34.6036844	-58.3815591	-158.0999873	21.6018372
"Capital federal"	"South America"	"Argentina"	-34.6036844	-58.3815591	-57.53939982	-38.07979169
"Cibao, República Dominicana"	"South America"	"Dominican Republic"	19.6269122	-70.277403	-70.4082064	19.75000602
"Lima, Peru"	"South America"	"Peru"	-12.2720956	-76.2710833	-79.4392	-7.7025
"planeta tierra"	"South America"	"Mexico"	21.149465	-101.691545	-70.6572244	-33.4327007
"Orgullosamente Mexicana "	"South America"	"Mexico"	20.694513	-101.370922	-99.90546	16.84887
"Western Australia, Australia"	"Australia"	"Australia"	-27.6728168	121.6283098	115.083	-8.83333
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-9.36306728	39.35711882
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-8.86334495	40.14064566
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-9.33554649	39.36471251
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-9.36155893	39.34247983
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-9.33554649	39.36471251
"Santiago, Chile"	"South America"	"Chile"	-33.4488897	-70.6692655	-72.00879173	-34.38696403
"iPhone: 34.076904,-118.327179"	"North America"	"United States of America"	34.0456553	-118.2510139	80.61958162	5.94307699
"iPhone: 34.076904,-118.327179"	"North America"	"United States of America"	34.0456553	-118.2510139	80.61958162	5.94307699
"São Gonçalo, Rio de Janeiro"	"South America"	"Brazil"	-22.8272883	-43.0637646	-43.31366992	-23.00715602
"Valencia"	"North America"	"United States of America"	28.5229956	-81.4634245	-0.65	39.15
"Auckland, New Zealand"	"Australia"	"New Zealand"	-36.8484597	174.7633315	174.471	-36.954
"Washington DC"	"North America"	"United States of America"	38.9071923	-77.0368707	57.31056432	-20.46653899
"Washington DC"	"North America"	"United States of America"	38.9071923	-77.0368707	57.31056432	-20.46653899
